WASH7P,MIR6859-1,CICP27,AL627309.7,AL627309.8,AL627309.5,FO538757.2,FO538757.1,AP006222.1,AL732372.2,AL669831.3,MTND1P23,MTND2P28,MTCO1P12,MTCO2P12,MTATP8P1,MTATP6P1,MTCO3P12,CICP3,AL669831.1
CCL11,CCL8,CCL13,TMEM132E,CCT6B,ZNF830,LIG3,RFFL,AC004223.4,AC004223.2,AC004223.1,RAD51D,FNDC8,NLE1,UNC45B,AC022916.1,SLFN5,AC022706.1,SLFN11,AC060766.6
AC060766.4,AC060766.7,AC060766.5,AC060766.1,SLFN12,SLFN13,AC015911.4,SLFN12L,AC015911.8,E2F3P1,AC015911.7,AC015911.3,TOMM20P2,SLFN14,AC015911.1,LINC02001,PEX12,AP2B1,TAF15,RASL10B
GAS2L2,MMP28,AC006237.1,C17orf50,AC015849.3,AC015849.4,HEATR9,AC015849.6,AC015849.1,CCL5,AC015849.5,LRRC37A9P,RDM1,CCL16,CCL14,CCL15,CCL23,CCL18,AC243829.4,CCL3
CCL4,TBC1D3B,AC243829.1,CCL3L3,CCL4L2,AC233699.1,ZNHIT3,MYO19,PIGW,GGNBP2,AC243732.1,DHRS11,MRM1,AC243830.2,AC243830.1,AC243773.2,LHX1,AATF,AC244093.4,AC244093.5
ACACA,AC244093.1,HMGB1P24,C17orf78,AC243654.3,TADA2A,AC243654.1,AC243654.2,DUSP14,SYNRG,DDX52,MIR378J,AC243571.2,HNF1B,YWHAEP7,TBC1D3L,AC233968.1,AC244154.1,MRPL45,GPR179
SOCS7,ARHGAP23,AC244153.1,SRCIN1,EPOP,AC006449.6,AC006449.2,MLLT6,AC006449.3,CISD3,PCGF2,AC006449.5,PSMB3,PIP4K2B,CWC25,C17orf98,RPL23,AC110749.1,LASP1,AC006441.1
LINC00672,FBXO47,AC006441.4,LRRC37A11P,AC091178.1,PLXDC1,CACNB1,RPL19,STAC2,AC015910.1,FBXL20,AC005288.1,MED1,CDK12,AC009283.1,NEUROD2,AC087491.1,PPP1R1B,STARD3,TCAP
PNMT,PGAP3,ERBB2,MIR4728,MIEN1,GRB7,IKZF3,GSDMB,ORMDL3,AC090844.2,LRRC3C,GSDMA,PSMD3,AC090844.3,CSF3,MED24,SNORD124,THRA,NR1D1,AC068669.1
MSL1,CASC3,RAPGEFL1,WIPF2,CDC6,RARA,RARA-AS1,AC080112.4,GJD3,AC080112.1,TOP2A,Y_RNA,RPL23AP75,IGFBP4,AC018629.1,TNS4,AC004585.1,CCR7,SMARCE1,AC073508.3
KRT222,KRT24,KRT27,KRT10,TMEM99,KRT12,KRT20,AC004231.1,KRT23,KRT39,KRT40,KRT31,KRT32,KRT36,KRT13,KRT15,KRT19,KRT9,KRT14,KRT16
KRT17,KRT42P,AC130686.1,EIF1,HAP1,JUP,P3H4,FKBP10,NT5C3B,KLHL10,KLHL11,ACLY,TTC25,CNP,DNAJC7,NKIRAS2,ZNF385C,C17orf113,DHX58,KAT2A
HSPB9,RAB5C,AC099811.3,KCNH4,GHDC,STAT5B,AC099811.6,AC099811.4,AC099811.1,AC099811.5,STAT5A,STAT3,CAVIN1,ATP6V0A1,AC107993.1,AC067852.6,MIR5010,AC067852.4,NAGLU,HSD17B1P1
HSD17B1,AC067852.2,COASY,MLX,PSMC3IP,RETREG3,AC067852.7,TUBG1,TUBG2,PLEKHH3,CCR10,AC100793.2,CNTNAP1,AC100793.3,EZH1,AC100793.4,HMGN2P15,RAMP2-AS1,RAMP2,VPS25
WNK4,COA3,CNTD1,BECN1,PSME3,AOC2,AOC3,AOC4P,LINC00671,G6PC,AARSD1,PTGES3L,RUNDC1,RPL27,IFI35,VAT1,RND2,BRCA1,AC135721.1,NBR2
AC135721.2,AC060780.1,AC060780.3,AC060780.2,NBR1,TMEM106A,LINC00854,AC109326.1,LINC00910,ARL4D,MIR2117HG,AC087650.1,DHX8,ETV4,MEOX1,AC004149.1,AC055813.1,SOST,DUSP3,C17orf105
MPP3,CD300LG,MPP2,AC007993.3,FAM215A,PYY,NAGS,TMEM101,U3,LSM12,G6PC3,HDAC5,C17orf53,ASB16,ASB16-AS1,TMUB2,ATXN7L3,AC004596.1,UBTF,AC003102.1
AC003102.2,SLC4A1,RUNDC3A-AS1,RUNDC3A,SLC25A39,GRN,FAM171A2,ITGA2B,GPATCH8,AC103703.1,FZD2,MEIOC,CCDC43,AC091152.2,AC091152.4,DBF4B,AC091152.1,ADAM11,AC005180.2,AC005180.1
GJC1,HIGD1B,EFTUD2,RN7SL405P,GFAP,KIF18B,C1QL1,DCAKD,NMT1,PLCD3,ACBD4,AC142472.1,HEXIM1,AC138150.1,HEXIM2,AC138150.2,AC008105.3,FMNL1,AC008105.1,AC008105.2
MAP3K14-AS1,SPATA32,MAP3K14,ARHGAP27,AC003070.1,PLEKHM1,AC091132.2,LRRC37A4P,AC091132.4,AC091132.5,AC126544.1,AC126544.2,MAPK8IP1P2,RPS26P8,LINC02210,MAPT-AS1,MAPT,KANSL1,KANSL1-AS1,AC005829.2
AC005829.1,ARL17B,LRRC37A,AC217777.1,LRRC37A2,ARL17A,FAM215B,NSF,RPS7P11,WNT3,WNT9B,AC005670.1,GOSR2,RPRML,LRRC37A17P,AC068152.1,CDC27,AC002558.1,AC002558.3,MYL4
ITGB3,AC068234.2,THCAT158,EFCAB13,AC040934.1,MRPL45P2,NPEPPS,AC025682.1,KPNB1,TBKBP1,TBX21,OSBPL7,MRPL10,LRRC46,SCRN2,SP6,AC018521.7,AC018521.5,SP2,SP2-AS1
AC018521.6,PNPO,PRR15L,CDK5RAP3,COPZ2,AC004477.1,NFE2L1,AC004477.3,CBX1,SNX11,SKAP1,SKAP1-AS1,THRA1/BTR,HOXB1,HOXB2,HOXB-AS1,HOXB3,HOXB-AS3,HOXB-AS2,HOXB4
AC103702.1,HOXB5,HOXB6,HOXB7,HOXB8,HOXB9,HOXB-AS4,AC103702.2,LINC02086,AC091179.1,HOXB13,TTLL6,CALCOCO2,SUMO2P17,ATP5G1,AC091133.5,UBE2Z,SNF8,IGF2BP1,B4GALNT2
GNGT2,ABI3,PHOSPHO1,FLJ40194,ZNF652,AC091180.2,AC091180.5,AC091180.4,PHB,EIF4EP2,AC015656.1,NGFR,AC006487.1,NXPH3,SPOP,SLC35B1,AC015795.2,FAM117A,KAT7,AC027801.5
TAC4,AC027801.1,DLX4,DLX3,PICART1,ITGA3,AC002401.4,PDK2,AC002401.3,AC002401.2,SAMD14,PPP1R9B,AC015909.2,SGCA,HILS1,COL1A1,AC015909.1,TMEM92,TMEM92-AS1,XYLT2
AC015909.5,MRPL27,EME1,LRRC59,AC004707.1,ACSF2,CHAD,AC021491.4,RSAD1,AC021491.1,MYCBPAP,EPN3,AC021491.2,SPATA20,CACNA1G-AS1,CACNA1G,ABCC3,ANKRD40,LUC7L3,AC005921.3
LINC00483,WFIKKN2,TOB1,TOB1-AS1,AC005920.1,AC005920.3,SPAG9,NME1,NME2,MBTD1,AC005839.1,AC006141.1,UTP18,LINC02073,RPL7P48,CA10,MTCO1P40,AC034268.1,TOM1L1,COX11
AC007485.2,AC007485.1,STXBP4,HLF,AC007638.2,MMD,AC105021.1,TMEM100,PCTP,ANKFN1,NOG,C17orf67,AC106858.1,DGKE,TRIM25,AC015912.3,COIL,AC004584.1,SCPEP1,AC004584.3
RNF126P1,AC007114.1,AKAP1,AC007114.2,MSI2,AC091181.1,AC015883.1,AC007431.1,RN7SL449P,AC015845.2,MRPS23,CUEDC1,AC015813.4,VEZF1,AC015813.7,AC015813.1,SRSF1,AC015813.5,DYNLL2,AC015813.6
OR4D1,EPX,AC005962.2,MKS1,LPO,MPO,TSPOAP1,TSPOAP1-AS1,AC004687.1,SUPT4H1,RNF43,HSF5,SETP3,MTMR4,SEPT4-AS1,SEPT4,TEX14,U3,RAD51C,PPM1E
TRIM37,AC099850.1,SKA2,PRR11,SMG8,GDPD1,YPEL2,LINC01476,DHX40,AC091271.1,CLTC,PTRH2,VMP1,AC040904.1,TUBD1,AC004686.1,RPS6KB1,RNFT1,AC005702.1,HEATR6
AC025048.4,WFDC21P,AC025048.6,AC025048.2,CA4,USP32,SCARNA20,AC104763.1,C17orf64,RPL12P38,APPBP2,AC011921.1,PPM1D,RNU6-623P,BCAS3,AC110602.1,AC005746.3,AC005746.2,AC005746.1,TBX2-AS1
TBX2,C17orf82,TBX4,NACA2,BRIP1,INTS2,MED13,AC018628.1,AC008158.1,AC008026.2,METTL2A,TLK2,AC008026.1,AC008026.3,AC080038.2,AC080038.1,MRC2,AC080038.3,AC005821.1,MARCH10
AC005972.4,TANC2,AC006270.1,AC005828.1,AC005828.6,AC005828.4,CYB561,AC005828.5,AC113554.1,ACE,KCNH6,DCAF7,TACO1,AC046185.2,MAP3K3,EEF1DP7,STRADA,LIMD2,AC046185.3,CCDC47
DDX42,FTSJ3,PSMC5,SMARCD2,TCAM1P,CD79B,SCN4A,PRR29-AS1,PRR29,ICAM2,ERN1,SNHG25,SNORD104,TEX2,PECAM1,MILR1,POLG2,ATP5J2P4,DDX5,CEP95
SMURF2,AC132812.2,ARHGAP27P1-BPTFP1-KPNA2P3,AC132812.1,AC103810.3,PLEKHM1P1,LRRC37A3,AC103810.2,AC103810.5,AC103810.1,AC037487.1,AC037487.3,SLC16A6P1,AMZ2P1,GNA13,RGS9,AXIN2,CEP112,APOH,PRKCA
CACNG5,CACNG4,CACNG1,HELZ,AC007448.3,PSMD12,PITPNC1,AC079331.2,AC079331.1,NOL11,SNORA38B,AC006534.1,BPTF,AC134407.1,AC134407.2,AC134407.3,C17orf58,KPNA2,FBXO36P1,AC145343.1
LINC00674,LRRC37A16P,AC005332.9,AC005332.6,AC005332.8,AC005332.4,AC005332.10,AC005332.5,AC005332.3,AC005332.7,AC005332.1,AMZ2,ARSG,SLC16A6,AC007780.1,WIPI1,MIR635,PRKAR1A,FAM20A,AC079210.1
LINC01482,ABCA8,ABCA9,ABCA6,AC005495.1,ABCA10,ABCA5,AC115085.1,MAP2K6,AC002546.2,LINC01483,KCNJ16,KCNJ2-AS1,KCNJ2,MYL6P5,LINC02095,LINC01152,SOX9-AS1,LINC02097,SOX9
LINC00511,LINC02003,AC007639.1,RPL32P33,AC080037.1,SLC39A11,SCARNA24,AC025198.1,SSTR2,COG1,AC097641.3,FAM104A,C17orf80,AC087301.1,CPSF4L,CDC42EP4,SDK2,AC124804.1,RPL38,MGC16275
TTYH2,DNAI2,KIF19,BTBD17,GPR142,GPRC5C,CD300A,CD300LB,CD300C,AC079325.2,AC064805.1,CD300E,RAB37,AC064805.2,CD300LF,SLC9A3R1,NAT9,TMEM104,GRIN2C,FDXR
FADS6,USH1G,OTOP2,HID1,HID1-AS1,CDR2L,MRPL58,KCTD2,ATP5H,AC111186.1,TRIM80P,SLC16A5,ARMC7,NT5C,AC022211.4,JPT1,AC022211.3,AC022211.1,SUMO2,NUP85
GGA3,MRPS7,MIF4GD,AC022211.2,SLC25A19,GRB2,AC011933.1,AC011933.2,AC011933.3,TMEM94,CASKIN2,TSEN54,LLGL2,MYO15B,RECQL5,SMIM5,SMIM6,SAP30BP,AC087749.1,ITGB4
GALK1,H3F3B,UNK,AC087289.1,UNC13D,WBP2,TRIM47,AC087289.5,TRIM65,AC087289.2,MRPL38,AC087289.3,FBF1,ACOX1,TEN1,TEN1-CDK3,CDK3,EVPL,SRP68,ZACN
GALR2,EXOC7,AC018665.1,FOXJ1,RNF157-AS1,RNF157,ATF4P3,UBALD2,QRICH2,PRPSAP1,SPHK1,UBE2O,AANAT,RHBDF2,CYGB,PRCD,AC015802.4,AC015802.3,AC015802.5,SNHG16
SNORD1B,AC015802.6,ST6GALNAC2,ST6GALNAC1,AC005837.1,MXRA7,AC005837.3,JMJD6,uc_338,METTL23,SRSF2,MFSD11,LINC02080,MGAT5B,SEC14L1,SNHG20,RNU4-47P,CYCSP40,AC068594.1,SEPT9
AC111182.1,Y_RNA,AC111170.3,AC111170.1,AC021683.3,AC021683.2,AC021683.1,LINC01973,TNRC6C,TMC6,TMC8,C17orf99,EIF5AP2,SYNGR2,TK1,AFMID,BIRC5,THA1P,LINC01993,AC087645.2
SOCS3,AC061992.1,RN7SL236P,PGS1,DNAH17,DNAH17-AS1,LINC02081,CYTH1,AC099804.1,RNU6-638P,USP36,TIMP2,CEP295NL,AC100788.2,AC100788.1,LGALS3BP,CANT1,C1QTNF1-AS1,C1QTNF1,ENGASE
RBFOX3,LINC02078,ENPP7,CBX2,CBX8,AC100791.2,LINC01977,CBX4,LINC01979,LINC01978,TBC1D16,AC116025.2,CCDC40,GAA,EIF4A3,AC087741.3,AC087741.2,CARD14,AC087741.1,SGSH
SLC26A11,RNF213,AC124319.1,AC124319.3,AC124319.4,AC124319.2,ENDOV,MIR4730,AC120024.1,NPTX1,AC109327.1,RPTOR,AC109327.2,AC016245.1,AC127496.1,RPL12P37,CHMP6,AC127496.7,AC127496.5,AC127496.2
BAIAP2-AS1,BAIAP2,AATK,AC115099.1,CEP131,AC027601.2,TEPSIN,AC027601.1,NDUFAF8,SLC38A10,AC027601.5,LINC00482,TMEM105,AC110285.3,AC110285.1,AC110285.5,AC110285.2,BAHCC1,AC110285.7,MIR4740
MIR3186,LINC01971,ACTG1,AC139149.1,FSCN2,FAAP100,NPLOC4,TSPAN10,PDE6G,OXLD1,CCDC137,ARL16,HGS,AC139530.1,MRPL12,SLC25A10,GCGR,MCRIP1,PPP1R27,P4HB
AC145207.9,ARHGDIA,AC145207.5,ALYREF,ANAPC11,PCYT2,SIRT7,MAFG,AC145207.8,MAFG-AS1,PYCR1,MYADML2,NOTUM,ASPSCR1,CENPX,LRRC45,RAC3,DCXR,AC137723.2,AC137723.1
RFNG,GPS1,DUS1L,FASN,CCDC57,AC129510.1,AC129510.2,AC132872.2,SLC16A3,CSNK1D,AC132872.3,AC132872.4,LINC01970,AC132872.1,CD7,SECTM1,TEX19,UTS2R,AC132938.1,OGFOD3
AC132938.2,HEXDC,AC132938.5,C17orf62,AC132938.3,NARF,AC132938.6,AC124287.1,NARF-IT1,FOXK2,AC124283.4,AC124283.3,AC124283.2,WDR45B,AC124283.5,RAB40B,AC024361.2,FN3KRP,AC024361.3,FN3K
AC024361.1,TBCD,ZNF750,AC087222.1,B3GNTL1,AC130371.1,METRNL,AC130371.2,AC144831.1,AC139099.2,RPL23AP87,None,None,None,None,None,None,None,None,None
TUBB8P12,AP001005.4,ROCK1P1,USP14,THOC1,AP000845.1,COLEC12,CLUL1,TYMSOS,AP001178.3,AP001178.1,TYMS,ENOSF1,AP001178.2,YES1,AP001020.3,AP001020.2,AP000894.4,AP000894.2,ADCYAP1
LINC00470,AC008109.1,AP005230.1,METTL4,AP005136.2,NDC80,CBX3P2,SMCHD1,Y_RNA,EMILIN2,LPIN2,AP000919.4,AP000919.1,AP000919.2,AP005431.1,MYOM1,AP005329.2,MYL12A,AP005329.1,MYL12B
AP001025.3,TGIF1,GAPLINC,DLGAP1,AP002472.1,DLGAP1-AS1,DLGAP1-AS2,AP002478.1,DLGAP1-AS3,GAPDHP66,DLGAP1-AS5,PPIAP14,AP001496.2,LINC00526,LINC00667,ZBTB14,EPB41L3,TMEM200C,AP005433.1,L3MBTL4
AP001021.2,L3MBTL4-AS1,AP005202.1,AP005205.3,ARHGAP28,LINC00668,LAMA1,PTPRM,AC006566.1,AP001094.3,AP001094.2,RAB12,AP001793.2,GACAT2,MTCL1,AP000864.1,NDUFV2,AP005899.1,NDUFV2-AS1,ANKRD12
AP001033.2,AP001033.1,TWSG1,AP005432.2,RALBP1,AP005432.1,PPP4R1,AP001381.1,PPP4R1-AS1,KRT18P8,RAB31,AP000902.1,TXNDC2,AC006238.1,VAPA,APCDD1,NAPG,AP001099.1,PIEZO2,AP005117.1
NPIPB1P,GNAL,CHMP1B,MPPE1,AP001269.4,AP001269.2,IMPA2,AP001542.3,AP001542.1,AP002414.4,AP002414.2,ANKRD62,AP005264.6,CCDC58P3,CIDEA,AP005264.8,AP005264.1,TUBB6,AFG3L2,PRELID3A
AP001029.1,AP001029.2,SPIRE1,AP001029.3,PSMG2,CEP76,AP005482.3,AP005482.1,PTPN2,STK25P1,EIF4A2P1,SEH1L,AP002449.1,CEP192,AP001198.1,LDLRAD4,LDLRAD4-AS1,AP005131.4,AP005131.2,AP005131.1
AP005131.3,FAM210A,RNMT,MC5R,AP001086.1,AC006557.6,AC006557.5,ZNF519,AC006557.1,ANKRD20A5P,AP001004.1,AP005212.5,AP005212.3,CYP4F35P,AP005058.1,ANKRD30B,LINC01443,AP005242.2,ROCK1,AC022795.1
GREB1L,ESCO1,SNRPD1,ABHD3,AC106037.1,AC106037.2,MIB1,RN7SL233P,MIR133A1HG,GATA6-AS1,GATA6,AC091588.3,AC027449.1,CTAGE1,AC090912.1,AC090912.2,RBBP8,AC090912.3,AC091147.1,Y_RNA
CABLES1,TMEM241,RIOK3,C18orf8,NPC1,ANKRD29,LAMA3,RPL23AP77,AC010754.1,TTC39C,TTC39C-AS1,AC090772.1,AC090772.4,CABYR,AC090772.3,OSBPL1A,AC023983.1,AC023983.2,IMPACT,HRH4
LINC01915,AC018697.1,LINC01894,ZNF521,SS18,PSMA8,DHFRP1,TAF4B,FAM60BP,KCTD1,AC007996.1,AC090206.1,CIAPIN1P,AQP4-AS1,PCAT18,AC018371.2,AQP4,CHST9,CDH2,AC027141.1
DSC3,DSC2,DSCAS,DSC1,AC012417.1,DSG1,DSG4,DSG3,AC021549.1,DSG2,DSG2-AS1,TTR,B4GALT6,AC017100.1,LRRC37A7P,SLC25A52,TRAPPC8,AC022960.1,AC022960.2,AC009831.1
AC009831.2,RNF125,AC009831.4,AC011825.1,AC011825.4,RNF138,AC011825.2,GAREM1,MEP1B,HNRNPA1P7,WBP11P1,KLHL14,AC012123.1,CCDC178,ASXL3,NOL4,DTNA,MAPRE2,AC015967.1,ZNF397
ZSCAN30,AC011815.3,AC011815.2,AC011815.1,ZNF271P,AC116447.1,ZNF24,ZNF396,AC007998.4,AC007998.3,INO80C,GALNT1,AC090229.1,AC118757.1,C18orf21,AC091060.1,RPRD1A,SLC39A6,ELP2,AC023043.1
MOCOS,AC023043.4,AC023043.3,FHOD3,TPGS2,KIAA1328,AC015961.1,CELF4,AC015961.2,AC016205.1,RPL7AP66,LINC01902,KC6,PIK3C3,AC087683.2,AC087683.1,LINC00907,SYT4,KRT8P5,AC120049.1
SETBP1,AC105074.1,SLC14A2,SLC14A2-AS1,AC023421.1,AC023421.2,SLC14A1,SIGLEC15,EPG5,PSTPIP2,RN7SKP26,AC012569.1,ATP5A1,HAUS1,C18orf25,RNF165,LOXHD1,ST8SIA5,AC090241.2,AC090241.3
PIAS2,KATNAL2,ELOA2,AC012254.5,AC012254.1,AC012254.3,HDHD2,AC012254.4,IER3IP1,TPMTP1,SMAD2,MTCO2P2,AC120349.3,AC120349.1,ZBTB7C,AC105101.1,CTIF,AC048380.2,AC093567.1,SMAD7
AC016866.1,DYM,AC044840.1,C18orf32,AC100778.2,AC100778.4,RPL17,LIPG,ACAA2,SNHG22,MYO5B,CFAP53,AC090246.1,MBD1,CXXC1,SKA1,MAPK4,MRO,ME2,ELAC1
SMAD4,MEX3C,LINC01630,AC022701.1,DCC,MBD2,AC093462.1,POLI,STARD6,C18orf54,AC090897.1,RAB27B,CCDC68,LINC01929,TCF4,AC022031.2,LINC01415,LINC01416,AC009271.1,LINC01539
TXNL1,WDR7,ONECUT2,FECH,AC100847.1,NARS,AC027097.1,AC027097.2,ATP8B1,RSL24D1P11,NEDD4L,AC090236.2,ALPK2,AC104971.4,AC104971.2,MALT1,AC104365.1,MRPL37P1,AC104365.2,ZNF532
OACYLP,SEC11C,GRP,LMAN1,AC016229.2,CCBE1,AC098847.2,PMAIP1,NFE2L3P1,FAM60CP,RPS3AP49,MC4R,CDH20,RPL30P14,AC090409.2,AC090409.1,RNF152,PIGN,KIAA1468,AC027514.1
AC027514.2,TNFRSF11A,ACTBP9,ZCCHC2,AC064801.1,AC064801.2,PHLPP1,BCL2,KDSR,AC036176.1,VPS4B,AC036176.2,SERPINB5,SERPINB4,SERPINB3,SERPINB7,SERPINB2,HMSD,AC009802.1,SERPINB8
CDH7,CDH19,AC091042.1,AC110597.1,DSEL,AC022968.1,TMX3,CCDC102B,AC040896.1,AC096708.4,AC090337.1,DOK6,CD226,RTTN,SOCS6,LINC01909,LINC01910,AC091305.1,CBLN2,NETO1
AC079062.1,FBXO15,TIMM21,CYB5A,AC008021.1,FAM69C,CNDP2,AC009704.2,CNDP1,LINC00909,ZNF407,AC015819.2,AC015819.1,ZADH2,TSHZ1,ZNF516,AC009716.1,AC018413.1,C18orf65,LINC00683
AC027575.2,AC027575.4,ZNF236,AC027575.1,AC027575.3,AC093330.1,MBP,AC093330.2,AC018529.1,AC018529.3,AC018529.2,GALR1,SALL3,ATP9B,AC125437.1,AC023090.2,NFATC1,AC068473.3,AC068473.4,AC068473.1
AC068473.5,CTDP1,KCNG2,AC114341.1,PQLC1,HSBP1L1,TXNL4A,AC090360.1,RBFA,RBFADN,ADNP2,PARD6G-AS1,PARD6G,AC139100.2,AC139100.1,None,None,None,None,None
WASH5P,LINC01002,AC016588.2,PLPP2,MIER2,THEG,C2CD4C,SHC2,ODF3L2,MADCAM1,AC005775.1,TPGS1,CDC34,GZMM,AC009005.1,BSG,HCN2,POLRMT,AC004449.1,FGF22
RNF126,AC004156.1,FSTL3,PRSS57,PALM,MISP,AC006273.1,LINC01836,PTBP1,PLPPR3,AZU1,PRTN3,ELANE,CFD,MED16,R3HDM4,KISS1R,ARID3A,AC005391.1,WDR18
GRIN3B,TMEM259,RNU6-2,CNN2,ABCA7,ARHGAP45,POLR2E,GPX4,SBNO2,STK11,HMGB2P1,CBARP,AC004221.1,ATP5D,MIDN,CIRBP,CIRBP-AS1,C19orf24,EFNA2,AC005330.1
MUM1,AC004623.1,NDUFS7,AC005329.3,AC005329.1,GAMT,DAZAP1,RPS15,AC027307.3,APC2,AC027307.2,C19orf25,PCSK4,REEP6,ADAMTSL5,AC027307.1,PLK5,MEX3D,RN7SL477P,MBD3
UQCR11,TCF3,RNU6-1223P,ONECUT3,ATP8B3,REXO1,AC012615.6,KLF16,AC012615.4,AC012615.1,ABHD17A,SCAMP4,ADAT3,CSNK1G2,CSNK1G2-AS1,BTBD2,AC005306.1,AC004678.2,AC004678.1,MKNK2
MOB3A,IZUMO4,AP3D1,DOT1L,AC004490.1,PLEKHJ1,SF3A2,AMH,JSRP1,OAZ1,C19orf35,LINGO3,LSM7,SPPL2B,TMPRSS9,TIMM13,LMNB2,LINC01775,GADD45B,GNG7
ELOCP28,AC092068.2,AC092068.3,DIRAS1,AC006538.1,SLC39A3,SGTA,THOP1,ZNF554,ZNF555,ZNF556,ZNF57,AC119403.1,ZNF77,AC006277.1,TLE6,TLE2,AES,GNA11,AC005262.1
GNA15,AC005264.1,S1PR4,NCLN,CELF5,NFIC,AC007792.1,SMIM24,AC005551.1,DOHH,FZR1,MFSD12,C19orf71,AC005786.1,HMG20B,GIPC3,TBXA2R,CACTIN-AS1,CACTIN,PIP5K1C
AC004637.1,TJP3,APBA3,AC005954.1,MRPL54,MATK,ZFR2,FTLP5,ATCAY,NMRK2,DAPK3,EEF2,PIAS4,ZBTB7A,AC016586.1,MAP2K2,CREB3L3,SIRT6,ANKRD24,EBI3
AC005578.1,CCDC94,SHD,TMIGD2,FSD1,STAP2,AC104521.1,MPND,AC007292.3,EIF1P6,AC007292.2,SH3GL1,AC007292.1,CHAF1A,AC011498.3,UBXN6,AC011498.7,AC011498.6,AC011498.1,HDGFL2
PLIN4,PLIN5,AC011498.4,LRG1,SEMA6B,TNFAIP8L1,MYDGF,DPP9,DPP9-AS1,MIR7-3HG,AC005523.1,FEM1A,TICAM1,PLIN3,ARRDC5,UHRF1,KDM4B,PTPRS,RPL32P34,AC005790.1
TINCR,SNRPEP4,SAFB2,SAFB,RPL36,C19orf70,HSD11B1L,LONP1,CATSPERD,PRR22,DUS3L,NRTN,FUT6,FUT3,AC024592.2,NDUFA11,VMAC,AC104532.2,CAPS,RANBP3
AC011444.1,RFX2,AC011444.4,AC011444.3,ACSBG2,MLLT1,ACER1,CLPP,ALKBH7,PSPN,GTF2F1,AC011491.2,KHSRP,SLC25A41,SLC25A23,CRB3,DENND1C,AC010503.4,TUBB4A,TNFSF9
CD70,RPL7P50,TNFSF14,C3,AC008760.2,GPR108,TRIP10,AC008760.1,SH2D3A,VAV1,ADGRE1,ADGRE4P,ZNF557,INSR,AC119396.1,AC119396.2,ARHGEF18,PEX11G,TEX45,ZNF358
MCOLN1,PNPLA6,CAMSAP3,XAB2,PET100,PCP2,AC008763.1,STXBP2,RPS27AP19,RETN,MCEMP1,TRAPPC5,FCER2,CD209,CLEC4M,CLEC4GP1,EVI5L,PRR36,LYPLA2P2,LRRC8E
AC010336.1,MAP2K7,TGFBR3L,AC010336.2,SNAPC2,CTXN1,AC010336.5,TIMM44,ELAVL1,AC008946.1,CCL25,FBN3,CERS4,AC022146.2,CD320,NDUFA7,RPS28,KANK3,AC010323.2,ANGPTL4
RAB11B-AS1,RAB11B,MARCH2,AC136469.1,AC136469.2,HNRNPM,PRAM1,ZNF414,MYO1F,ADAMTS10,AC130469.1,ZNF558,AC008734.1,MUC16,ZNF317,OR7D2,ZNF699,ZNF559,ZNF559-ZNF177,AC011451.2
ZNF177,AC011451.3,ZNF266,ZNF560,AC008567.1,ZNF426,AC008567.3,ZNF121,ZNF561,ZNF561-AS1,ZNF562,RPS4XP22,ZNF812P,AC008759.3,AC008759.2,ZNF846,AC008752.3,UBE2L4,AC008752.1,FBXL12
SNORA70,RPL10P15,UBL5,AC008752.2,PIN1,OLFM2,COL5A3,C3P1,C19orf66,AC020931.1,ANGPTL6,PPAN,P2RY11,EIF3G,DNMT1,S1PR2,MRPL4,ICAM1,AC011511.5,ICAM5
ZGLP1,AC011511.1,FDX2,RAVER1,AC114271.1,ICAM3,TYK2,CDC37,PDE4A,KEAP1,AC011461.1,S1PR5,ATG4D,RNU7-140P,KRI1,CDKN2D,AP1M2,SLC44A2,ILF3-AS1,ILF3
QTRT1,DNM2,TMED1,C19orf38,AC007229.1,CARM1,YIPF2,TIMM29,SMARCA4,AC011442.1,RN7SL192P,LDLR,SPC24,KANK2,DOCK6,AC011472.1,AC011472.5,AC011472.4,ANGPTL8,TSPAN16
AC011472.2,RAB3D,TMEM205,CCDC159,PLPPR2,AC024575.1,SWSAP1,EPOR,RGL3,CCDC151,PRKCSH,ELAVL3,ZNF653,ECSIT,AC008481.2,AC008481.1,CNN1,ELOF1,ZNF627,ACP5
GAPDHP76,AC008543.1,ZNF887P,HNRNPA1P10,ZNF823,AC008543.3,ZNF441,ZNF491,ZNF440,AC008543.4,ZNF439,AC020951.1,ZNF69,ZNF700,AC008770.3,AC008770.4,ZNF763,AC008770.1,ZNF433,ZNF878
ZNF844,ZNF788,ZNF20,RSL24D1P8,AC022415.1,ZNF625,ZNF136,AC012618.3,ZNF44,AC012618.1,AC012618.2,ZNF563,ZNF442,AC008758.4,ZNF799,ZNF443,AC008758.6,AC008758.2,ZNF709,MTND2P40
MTATP6P27,ZNF564,AC010422.4,AC010422.1,PGK1P2,ZNF490,ZNF791,RPL10P16,MAN2B1,WDR83,DHPS,AC010422.2,FBXW9,TNPO2,TRIR,ASNA1,BEST2,HOOK2,AC018761.3,JUNB
PRDX2,RNASEH2A,AC020934.3,RTBDN,MAST1,DNASE2,KLF1,GCDH,RPS6P25,SYCE2,FARSA,FARSA-AS1,CALR,RAD23A,GADD45GIP1,DAND5,NFIX,AC007787.2,LYL1,TRMT1
